#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
STAR,0.0002172758,1237648722296700993,18.21461,18.5461,18.21713,18.25131,1.303698,0.6670202,1.503917,-0.02804529,-0.0595891,-0.05065435,-0.1728856,-0.03092217,3.427006,6,6
STAR,0.000221411,1237648721743446110,17.0799,17.38498,17.07223,17.12202,0.9846502,0.5102512,1.115651,-0.9579492,-1.312679,-1.290967,-0.09843776,-0.03760051,1.844621,6,6
STAR,0.0005815306,1237648721234165843,15.93505,16.26819,15.95145,15.99961,1.145286,0.5922641,1.281413,-36.79247,-38.12628,-37.94141,-0.1122005,-0.05016968,2.674678,6,6
STAR,0.000590139,1237648721217716355,16.644,16.96545,16.63017,16.67154,1.222427,0.6228241,1.392396,-2.438833,-0.0938981,-0.05195867,-0.03838167,-0.05894927,2.871626,6,6
STAR,0.0005674,1237648721234362380,15.55865,15.88718,15.56668,15.61438,1.150617,0.5958361,1.297165,-73.81453,-74.96381,-75.46897,-0.1055423,-0.04202016,2.728584,6,6
STAR,0.0005953402,1237648721234428047,18.3954,18.70811,18.38708,18.4378,1.123181,0.5828847,1.250347,-1.421819,-1.048826,-1.055717,-0.07990438,-0.04778309,2.646255,6,6
STAR,0.0005767972,1237648721744036313,18.90342,19.19521,18.86485,18.91925,1.11338,0.5618342,1.20537,-7.884827,-3.013987,-3.022908,0.008432583,-0.04187718,2.303586,6,6
STAR,-0.0002537008,1237648721234428069,18.32516,18.63636,18.31571,18.35904,1.112502,0.5816931,1.280239,-3.557158,-2.904984,-2.896896,-0.07025334,-0.05280075,2.588713,6,6
STAR,0.0005723474,1237648721746264150,16.66821,16.99438,16.664,16.71197,1.163928,0.5960549,1.31954,-1.678492,-2.279795,-2.274829,-0.04947399,-0.0506611,2.64358,6,6
STAR,7.57927E-05,1237648721746919594,16.58825,16.92076,16.58318,16.6412,1.145856,0.5890697,1.303959,-34.36552,-35.6225,-35.53511,-0.06276681,-0.001873245,2.565567,6,6
STAR,0.0002178311,1237648721748820200,19.98638,20.27891,19.9027,19.93087,1.368769,0.705818,1.692616,-4.839114,-2.883596,-2.672704,-0.1017416,-0.06503529,3.633365,6,6
STAR,0.0005935082,1237648721749868571,18.59133,18.9355,18.58562,18.65194,1.382677,0.7005413,1.47588,-0.06551924,-0.05762784,-0.05779985,-0.03439919,0.0176146,3.86069,6,6
STAR,0.0005634998,1237648721754587715,19.91646,20.23561,19.911,19.99179,1.172377,0.5859669,1.188313,-0.03322203,-0.08101518,-0.08073452,-0.08062377,-0.03837664,2.699337,6,6
STAR,0.000132143,1237648721754652696,17.15961,17.48961,17.15165,17.20277,1.222221,0.6252919,1.380494,-2.48942,-1.450508,-2.113944,-0.08191972,-0.01645675,2.953036,6,6
STAR,0.0005643656,1237648721234559189,18.25611,18.59803,18.26368,18.31683,1.210802,0.6297388,1.39244,-0.7360026,-0.97863,-0.9773667,-0.08380086,-0.02936574,3.068078,6,6
STAR,7.708191E-05,1237648721754783748,16.24136,16.55385,16.23352,16.28527,1.079467,0.5605866,1.212258,-2.564595,-1.689849,-2.901524,-0.1035369,-0.03184359,2.382507,6,6
STAR,0.0001296632,1237648721761927174,17.49438,17.81185,17.49889,17.54457,1.112053,0.5731246,1.233938,-0.5552661,-1.151453,-1.156568,-0.07788908,-0.006582852,2.488549,6,6
STAR,-4.345417E-06,1237648721234624738,16.8403,17.16299,16.8281,16.88001,1.201545,0.6143821,1.343016,-25.31878,-19.78727,-19.75076,-0.07611088,-0.02362696,2.887753,6,6
STAR,0.0002187472,1237646586640139672,20.73503,21.08736,20.73474,20.83917,1.003755,0.4726598,1.013303,-0.9367434,-1.301859,-1.324703,-0.1201467,-0.08735298,1.734025,6,6
STAR,0.0001306535,1237648721758847180,20.22797,20.37778,20.21503,20.29807,1.089701,0.5735646,1.169281,-0.3892654,-0.4279017,-0.4274782,0.005797665,-0.02644368,2.582511,6,6
STAR,0.0005862155,1237648721759240593,19.8956,20.2134,19.88327,19.94063,1.102275,0.5709621,1.240438,-0.2022067,-0.3574721,-0.3573199,-0.1102209,-0.05318721,2.5299,6,6
STAR,0.0005691205,1237648721228202000,16.07298,16.41415,16.0688,16.11928,1.248019,0.6366724,1.423752,-60.80295,-56.19205,-56.02517,-0.1032759,-0.0414296,3.040102,6,6
STAR,0.0005808914,1237648720676717131,21.15537,21.5311,21.14394,21.28136,1.682051,0.7907943,1.538345,-0.05725224,-0.130766,-0.1307402,0.009490669,-0.05167817,5.443654,6,6
