#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
GALAXY,0.04618816,1237655368747909256,17.7985,17.72966,15.46307,15.48152,7.709749,3.831849,7.898278,-53031.7,-655.7674,-8668.829,0.09227481,0.2020861,106.95,3,3
GALAXY,0.003009327,1237654879117050077,20.36376,19.93264,16.70669,16.76917,12.14144,5.7608,11.97791,-4507.59,-24.8712,-739.7319,0.1332991,0.295525,268.9474,3,3
GALAXY,0.04619547,1237655369278685328,18.11732,18.21234,17.18101,17.28642,3.312395,1.541107,4.148867,-4373.292,-260.479,-12.6736,-0.1040974,-0.3394283,13.27044,3,3
GALAXY,0.04637942,1237655108905599133,17.98523,18.00713,16.65475,16.84208,4.136532,1.903633,4.845431,-12100.37,-504.0718,-260.7886,-0.06829987,0.08449658,18.80036,3,3
GALAXY,0.03255431,1237655369283338400,18.33182,18.40114,17.39744,17.51754,3.072926,1.471634,3.781644,-4220.338,-165.5636,-116.1776,0.3551104,0.01430253,13.32543,3,3
GALAXY,0.04624373,1237654879117246473,17.32301,17.33547,15.64536,15.79701,7.623403,3.05877,9.869167,-29852.71,-7057.083,-1053.918,0.0001308412,-0.3064207,15.49238,3,3
GALAXY,0.03179847,1237655369283403792,18.1019,18.12385,17.28468,17.24591,3.011024,1.454939,3.480013,-6617.684,-68.93128,-249.6757,-0.004169487,-0.08147905,14.22074,3,3
GALAXY,0.04634221,1237655369285042316,16.53295,16.60544,14.86255,14.95591,8.450147,3.492235,11.27742,-52726.57,-11354.62,-1758.528,0.2250381,0.3929098,23.29437,3,3
GALAXY,0.04626167,1237655369285107837,16.73486,16.78037,15.35287,15.47217,5.278016,2.24055,6.828791,-40786.52,-7090.996,-475.9267,0.1168704,0.1006182,15.61303,3,3
GALAXY,0.04635586,1237655108907696274,16.69543,16.70215,15.37835,15.48083,4.847667,2.092775,6.30262,-39491.82,-8161.667,-509.5079,0.1682745,0.04199107,12.76266,3,3
GALAXY,0.03175305,1237655108909924473,17.47871,17.44668,15.2778,15.48082,9.448097,4.122093,12.11162,-45142.14,-4796.009,-2099.512,0.3202962,-0.4648226,57.54939,3,3
GALAXY,0.04607258,1237654879661457663,17.56305,17.53922,15.18455,15.13655,9.841858,4.861357,11.8936,-62738.52,-2737.839,-5485.905,-0.05851775,0.1988097,109.4491,3,3
GALAXY,0.03224755,1237655369821716609,19.51244,19.3728,17.72471,17.71754,5.633125,2.63532,6.6557,-4511.437,-19.98925,-335.361,-0.4761763,-0.565362,57.10154,3,3
GALAXY,0.0325239,1237655108913594378,16.25326,16.2941,14.28739,14.39538,11.52979,4.64255,15.65555,-92117.6,-28043.83,-1423.102,-0.07724486,-0.196265,16.7374,3,3
GALAXY,0.03284157,1237652899699228859,19.4255,19.02545,16.4257,16.39698,12.73377,5.741085,13.22093,-12369.48,-385.1864,-781.7469,0.6294298,0.4390269,249.556,3,3
GALAXY,0.0469648,1237654383053045915,17.17961,17.03098,14.92525,15.08814,8.763925,3.885223,11.23388,-64309.92,-5445.184,-3062.597,-0.2719087,0.5716365,59.94941,3,3
GALAXY,0.04710715,1237654383589654709,19.04798,19.04613,17.90253,17.79835,4.302488,2.016447,5.326536,-4188.633,-77.7326,-78.83588,0.2231512,-0.3582038,22.97309,3,3
GALAXY,0.03258754,1237652900229218364,16.97688,16.74883,14.15608,14.35267,13.13012,5.452045,16.03802,-92924.87,-9461.729,-3088.193,-0.4584955,0.07566144,79.37918,3,3
GALAXY,0.03311881,1237654398079926299,19.36169,19.13129,16.55207,16.48475,13.27674,5.80352,11.64422,-14826.8,-816.2781,-1071.763,-0.4532228,0.07874075,162.8568,3,3
GALAXY,0.00639676,1237651753458729196,20.03299,19.60875,17.87129,17.79797,6.106163,2.934614,7.596575,-2483.054,-3.288409,-110.3219,0.1021988,-0.5002127,51.16217,3,3
GALAXY,0.03291443,1237654398616010921,19.22163,18.96177,16.79404,16.8038,8.059927,3.765606,8.005336,-14447.34,-259.7628,-1454.252,0.4500037,-0.2235647,101.134,3,3
GALAXY,0.006922595,1237654398617059340,18.6908,18.5719,17.50313,17.4413,3.658205,1.775473,4.420321,-7430.076,-79.29241,-469.8892,-0.1173798,-0.2283842,20.35955,3,3
GALAXY,0.04681063,1237654398617518193,17.36228,17.2788,15.42145,15.38328,7.253851,3.360622,8.561193,-55044.8,-1616.724,-3791.43,0.05281322,-0.3986992,55.40195,3,3
GALAXY,0.04682541,1237651754008576314,19.98055,19.56597,17.44313,17.42694,8.631114,3.851615,9.061583,-3262.944,-13.56428,-165.7354,0.6239854,-0.02776304,96.44488,3,3
GALAXY,0.0467375,1237652900762550424,18.20403,17.98443,16.74903,16.75722,3.85971,1.886862,4.076131,-16452.23,-45.83842,-1805.629,-0.2431799,-0.02634881,26.8686,3,3
GALAXY,0.005161741,1237652900765565051,18.74708,18.38474,15.12366,15.06555,16.9365,7.558428,18.87467,-53292.65,-841.3401,-4955.541,0.154818,0.06093102,274.487,3,3
GALAXY,0.03313886,1237654399152881878,19.88249,19.53168,17.58081,17.62639,6.381962,3.010311,6.158378,-5724.462,-36.73614,-641.204,0.2390751,0.4713077,75.18978,3,3
GALAXY,0.007397438,1237651754013425716,17.17491,17.07348,15.03721,15.26082,7.961877,3.456493,9.741199,-49743.83,-4353.749,-923.0122,-0.1111176,0.348175,34.98964,3,3
GALAXY,0.03337836,1237654399153078336,18.65914,18.30864,15.85865,16.08988,12.35242,5.183516,12.90582,-25670.89,-3967.54,-1867.439,-0.4516079,-0.31336,45.41058,3,3
GALAXY,0.03316384,1237651754559143985,16.36932,16.37452,14.43601,14.45909,12.68088,5.331923,15.67017,-75660.8,-27839.27,-4216.763,0.114344,0.05296404,13.21546,3,3
GALAXY,0.03296844,1237654601569992814,20.41651,20.08168,17.87646,17.93617,7.799417,3.575045,7.516904,-2203.91,-21.93577,-175.7805,-0.09351386,0.004302267,91.39119,3,3
GALAXY,0.03335343,1237653441375961309,18.99823,18.97871,17.1005,17.11788,6.455094,3.036442,6.755732,-8023.461,-127.4689,-1056.989,-0.7980257,0.07554609,89.80666,3,3
GALAXY,0.007465225,1237654381982777373,18.64309,18.68496,17.7117,17.87104,2.708272,1.353041,3.840665,-3213.251,-631.9351,-406.0551,-0.2178351,-0.04941113,10.33214,3,3
GALAXY,0.04688491,1237654653644636282,17.79813,17.9641,16.5587,16.71464,4.761663,2.111177,5.566441,-12472.12,-937.9073,-214.7913,0.01944969,0.3872963,21.56471,3,3
GALAXY,0.03261431,1237654654180982991,18.78271,18.45258,16.09092,16.10334,9.53795,4.456469,10.33459,-29172.17,-573.744,-3853.395,-0.3070222,-0.7631571,195.5596,3,3
GALAXY,0.007834268,1237654399153668176,18.34263,18.10037,16.70524,16.91197,4.050275,1.846108,5.199996,-15128.03,-599.309,-430.8053,0.1311319,-0.1123263,17.02959,3,3
GALAXY,0.03278023,1237654399153733836,18.48277,18.19586,15.54164,15.52571,14.63861,6.328217,15.89536,-44288.04,-900.1702,-3647.487,0.04129406,0.8987007,375.5598,3,3
GALAXY,0.03281725,1237651754021814471,19.15091,18.98506,17.96114,18.08058,3.292692,1.382411,3.937535,-2152.818,-110.4044,-34.73932,0.03632238,-0.4961405,9.568014,3,3
